"","error.L1","zeros.correct","zeros.incorrect","zeros.score"
"glmGamma",0.506226041449463,0,0,0
"glmGammaNet",0.610595930880402,0.93,0,0.93
"glmnet",60.7245654743509,2.06,1.02,1.04
