"","error.L1","zeros.correct","zeros.incorrect","zeros.score"
"glmGamma",0.160225800776917,0,0,0
"glmGammaNet",0.335348067442655,2.21,0,2.21
"glmnet",325.031990378332,0.94,0.23,0.71
